sample_id,source,timestamp,task,label,attack_type,src_ip,src_port,dst_ip,dst_port,protocol,duration,src_bytes,dst_bytes,packets,text,_original_label,_source_trust,_license
f001,synthetic-open-security-flow,2026-05-01 09:00:01,intrusion-detection,benign,benign,10.0.0.5,51544,172.16.1.10,443,TCP,1.2,950,8040,18,normal tls web session,BENIGN,0.86,CC0-1.0 demo data
f002,synthetic-open-security-flow,2026-05-01 09:01:12,intrusion-detection,benign,benign,10.0.0.6,53321,172.16.1.10,443,TCP,1.0,910,7901,17,normal tls api session,Normal,0.86,CC0-1.0 demo data
f003,synthetic-open-security-flow,2026-05-01 09:02:34,intrusion-detection,ddos,volumetric,203.0.113.8,42110,172.16.1.21,80,TCP,8.8,82200,1200,221,high rate http flood,DDoS,0.86,CC0-1.0 demo data
f004,synthetic-open-security-flow,2026-05-01 09:03:15,intrusion-detection,ddos,volumetric,203.0.113.9,42111,172.16.1.21,80,TCP,9.1,84600,1250,235,high rate http flood variant,DDoS,0.86,CC0-1.0 demo data
f005,synthetic-open-security-flow,2026-05-01 09:04:09,intrusion-detection,bruteforce,ssh,198.51.100.4,38880,172.16.1.22,22,TCP,3.8,4600,520,44,failed ssh login burst,Brute Force,0.86,CC0-1.0 demo data
f006,synthetic-open-security-flow,2026-05-01 09:04:09,intrusion-detection,bruteforce,ssh,198.51.100.4,38880,172.16.1.22,22,TCP,3.8,4600,520,44,failed ssh login burst,Brute Force,0.86,CC0-1.0 demo data
f007,synthetic-open-security-flow,2026-05-01 09:06:30,intrusion-detection,scan,recon,192.0.2.77,49152,172.16.1.30,445,TCP,2.9,3910,670,37,smb port scan pattern,PortScan,0.86,CC0-1.0 demo data
f008,synthetic-open-security-flow,2026-05-01 09:07:43,intrusion-detection,scan,recon,192.0.2.78,49154,172.16.1.30,3389,TCP,3.2,4200,700,39,rdp port scan pattern,Scan,0.86,CC0-1.0 demo data
f009,synthetic-open-security-flow,2026-05-01 09:08:01,intrusion-detection,,benign,10.0.0.7,53411,172.16.1.11,53,UDP,0.2,120,340,4,dns request with missing label,,0.86,CC0-1.0 demo data
f010,synthetic-open-security-flow,2026-05-01 09:01:30,intrusion-detection,web_attack,injection,203.0.113.99,40200,172.16.1.40,8080,TCP,5.3,7200,1400,64,suspicious sql injection payload,Web Attack,0.86,CC0-1.0 demo data
f011,synthetic-open-security-flow,2026-05-01 09:10:19,intrusion-detection,web_attack,injection,203.0.113.100,40201,172.16.1.40,8080,TCP,5.1,7100,1410,63,suspicious sql injection payload replay,Web Attack,0.86,CC0-1.0 demo data
f012,synthetic-open-security-flow,2026-05-01 09:11:52,intrusion-detection,benign,benign,10.0.0.8,53500,172.16.1.12,443,TCP,1.5,1100,9000,22,normal payment service call,BENIGN,0.86,CC0-1.0 demo data
f013,synthetic-open-security-flow,2026-05-01 09:12:20,intrusion-detection,benign,benign,10.0.0.9,53501,172.16.1.12,443,TCP,1.4,1050,8800,21,normal checkout service call,BENIGN,0.86,CC0-1.0 demo data
f014,synthetic-open-security-flow,2026-05-01 09:02:00,intrusion-detection,botnet,botnet,198.51.100.55,44700,172.16.1.50,25,TCP,6.4,5600,310,78,smtp bot command pattern,Bot,0.86,CC0-1.0 demo data
f015,synthetic-open-security-flow,2026-05-01 09:14:10,intrusion-detection,botnet,botnet,198.51.100.56,44701,172.16.1.50,25,TCP,6.1,5800,330,81,smtp bot command pattern variant,Botnet,0.86,CC0-1.0 demo data
f016,synthetic-open-security-flow,2026-05-01 09:03:00,intrusion-detection,ransomware,lateral_movement,203.0.113.150,49999,172.16.1.60,445,TCP,12.5,108000,900,320,suspicious smb encryption burst,Ransomware,0.86,CC0-1.0 demo data
