Flow ID,Timestamp,Src IP,Src Port,Dst IP,Dst Port,Protocol,Duration,Src Bytes,Dst Bytes,Packets,Label,Attack,Message
f001,2026-05-01 09:00:01,10.0.0.5,51544,172.16.1.10,443,TCP,1.2,950,8040,18,BENIGN,benign,normal tls web session
f002,2026-05-01 09:01:12,10.0.0.6,53321,172.16.1.10,443,TCP,1.0,910,7901,17,Normal,benign,normal tls api session
f003,2026-05-01 09:02:34,203.0.113.8,42110,172.16.1.21,80,TCP,8.8,82200,1200,221,DDoS,volumetric,high rate http flood
f004,2026-05-01 09:03:15,203.0.113.9,42111,172.16.1.21,80,TCP,9.1,84600,1250,235,DDoS,volumetric,high rate http flood variant
f005,2026-05-01 09:04:09,198.51.100.4,38880,172.16.1.22,22,TCP,3.8,4600,520,44,Brute Force,ssh,failed ssh login burst
f006,2026-05-01 09:04:09,198.51.100.4,38880,172.16.1.22,22,TCP,3.8,4600,520,44,Brute Force,ssh,failed ssh login burst
f007,2026-05-01 09:06:30,192.0.2.77,49152,172.16.1.30,445,TCP,2.9,3910,670,37,PortScan,recon,smb port scan pattern
f008,2026-05-01 09:07:43,192.0.2.78,49154,172.16.1.30,3389,TCP,3.2,4200,700,39,Scan,recon,rdp port scan pattern
f009,2026-05-01 09:08:01,10.0.0.7,53411,172.16.1.11,53,UDP,0.2,120,340,4,,benign,dns request with missing label
f010,2026-05-01 09:01:30,203.0.113.99,40200,172.16.1.40,8080,TCP,5.3,7200,1400,64,Web Attack,injection,suspicious sql injection payload
f011,2026-05-01 09:10:19,203.0.113.100,40201,172.16.1.40,8080,TCP,5.1,7100,1410,63,Web Attack,injection,suspicious sql injection payload replay
f012,2026-05-01 09:11:52,10.0.0.8,53500,172.16.1.12,443,TCP,1.5,1100,9000,22,BENIGN,benign,normal payment service call
f013,2026-05-01 09:12:20,10.0.0.9,53501,172.16.1.12,443,TCP,1.4,1050,8800,21,BENIGN,benign,normal checkout service call
f014,2026-05-01 09:02:00,198.51.100.55,44700,172.16.1.50,25,TCP,6.4,5600,310,78,Bot,botnet,smtp bot command pattern
f015,2026-05-01 09:14:10,198.51.100.56,44701,172.16.1.50,25,TCP,6.1,5800,330,81,Botnet,botnet,smtp bot command pattern variant
f016,2026-05-01 09:03:00,203.0.113.150,49999,172.16.1.60,445,TCP,12.5,108000,900,320,Ransomware,lateral_movement,suspicious smb encryption burst
